Deep size	Num units	Learning rate	Batch size	MSE	Tiempo de ejecución
4	100	0.001	16	0.03290309011936188	17.4954936504364
4	150	0.0001	16	0.03354216367006302	19.585322618484497
2	50	0.001	16	0.03490980342030525	22.89469265937805
2	100	0.001	16	0.03699195012450218	21.781946897506714
4	200	0.0001	16	0.037541188299655914	22.22290062904358
4	100	0.0001	16	0.03913794830441475	17.146223783493042
4	50	0.0001	16	0.03934091329574585	15.931040048599243
3	150	0.0001	16	0.039413124322891235	18.044692754745483
1	150	0.001	16	0.040661733597517014	24.859198570251465
3	200	0.0001	16	0.040751732885837555	20.484509706497192
2	150	0.001	16	0.040903206914663315	27.301329851150513
4	150	0.001	16	0.041266169399023056	19.39561915397644
3	100	0.0001	16	0.041278667747974396	15.856955528259277
1	200	0.001	16	0.0428055003285408	31.323854446411133
3	150	0.001	16	0.04399031028151512	17.826624155044556
2	200	0.001	16	0.044504035264253616	20.64635992050171
1	100	0.001	16	0.04486319050192833	41.979474782943726
3	200	0.001	16	0.047349534928798676	18.401761770248413
3	50	0.001	16	0.04790452495217323	15.366910696029663
2	200	0.0001	16	0.05403374135494232	20.523112058639526
3	50	0.0001	16	0.05569760873913765	18.925462007522583
2	150	0.0001	16	0.06244681403040886	42.48824405670166
4	200	0.001	16	0.07162315398454666	15.569457054138184
1	50	0.001	16	0.07416000217199326	29.092899560928345
2	100	0.0001	16	0.08801662921905518	27.237677574157715
4	50	0.001	16	0.09536951035261154	16.81439733505249
2	50	0.0001	16	0.10079481452703476	27.86067247390747
3	100	0.001	16	0.10133591294288635	16.125906467437744
1	200	0.0001	16	0.223775714635849	27.796449899673462
1	150	0.0001	16	0.26380833983421326	42.13178730010986
1	100	0.0001	16	1.0542018413543701	27.259734630584717
1	50	0.0001	16	15.354073524475098	26.82124090194702
