Deep layers	Num units	Learning rate	Batch size	Loss	Score	Elapsed time
2	200	0.001	8	0.030214080587029457	0.030214080587029457	39.94380068778992
2	200	0.001	8	0.032485611736774445	0.032485611736774445	45.786667585372925
2	200	0.001	8	0.0327189564704895	0.0327189564704895	45.44192552566528
2	200	0.001	8	0.032738588750362396	0.032738588750362396	46.380308389663696
2	200	0.001	8	0.03278999403119087	0.03278999403119087	43.7207145690918
2	200	0.001	8	0.03448120504617691	0.03448120504617691	42.99660134315491
2	200	0.001	8	0.03532431274652481	0.03532431274652481	44.13502287864685
2	200	0.001	8	0.03567051142454147	0.03567051142454147	83.25770711898804
2	200	0.001	8	0.035960473120212555	0.035960473120212555	42.107138872146606
2	200	0.0001	8	0.03618522733449936	0.03618522733449936	47.56580710411072
2	200	0.0001	8	0.03620028868317604	0.03620028868317604	83.13252711296082
2	200	0.0001	8	0.036599770188331604	0.0365997739136219	44.19799280166626
2	200	0.001	8	0.0368463359773159	0.0368463359773159	50.957324504852295
2	100	0.0001	4	0.03730440139770508	0.03730440139770508	83.14853501319885
2	100	0.0001	4	0.037828195840120316	0.037828195840120316	83.62041068077087
2	200	0.001	8	0.037893425673246384	0.037893425673246384	40.66186308860779
1	150	0.001	8	0.03811682388186455	0.03811682388186455	48.882195234298706
2	150	0.001	16	0.03880550339818001	0.03880550339818001	23.172847032546997
2	100	0.0001	4	0.039561834186315536	0.039561834186315536	83.57485771179199
2	150	0.001	8	0.0420386902987957	0.0420386902987957	43.36511516571045
2	150	0.001	8	0.04547211155295372	0.04547211155295372	83.41753959655762
2	50	0.0001	8	0.04690074175596237	0.04690074175596237	41.930126905441284
4	200	0.001	16	0.05367303639650345	0.05367303639650345	32.84605956077576
2	200	0.0001	16	0.0548514723777771	0.0548514723777771	34.55266571044922
4	200	0.001	16	0.06036277115345001	0.06036277115345001	34.880829095840454
4	200	0.001	16	0.06597232073545456	0.06597232073545456	35.19860053062439
4	200	0.001	16	0.06719721108675003	0.06719721108675003	34.09452962875366
2	200	0.001	2	0.08175906538963318	0.08175906538963318	154.25604104995728
3	100	0.001	2	0.09384886920452118	0.09384886920452118	136.26514387130737
1	100	0.0001	4	0.10637365281581879	0.10637365281581879	51.86579871177673
