Deep size	Num units	Learning rate	Batch size	MSE	Tiempo de ejecución
3	200	0.001	16	0.03155450150370598	20.786914587020874
4	200	0.0001	16	0.032846588641405106	22.668042421340942
4	150	0.0001	16	0.033721961081027985	19.100475788116455
2	50	0.001	16	0.03585948422551155	25.93849229812622
4	100	0.001	16	0.035927753895521164	17.708653926849365
1	200	0.001	16	0.036005597561597824	26.230751276016235
2	100	0.001	16	0.0367811881005764	23.139322519302368
3	200	0.0001	16	0.037756066769361496	21.21015977859497
3	100	0.0001	16	0.03821779415011406	16.276262283325195
4	50	0.0001	16	0.03899766132235527	16.383368253707886
3	150	0.0001	16	0.03971026837825775	17.801934242248535
4	100	0.0001	16	0.039719872176647186	17.405810594558716
1	150	0.001	16	0.04041144251823425	26.32261037826538
3	150	0.001	16	0.04638414829969406	17.662848711013794
1	100	0.001	16	0.048191118985414505	25.262179851531982
1	50	0.001	16	0.04834500700235367	21.632165908813477
2	200	0.001	16	0.04904307797551155	22.185940504074097
2	150	0.001	16	0.05058063194155693	24.93159008026123
2	200	0.0001	16	0.051053114235401154	26.313913822174072
4	150	0.001	16	0.05322708562016487	18.68226432800293
2	150	0.0001	16	0.05672716349363327	28.5727961063385
3	50	0.0001	16	0.05901800096035004	19.265444040298462
2	100	0.0001	16	0.06094492971897125	22.911113739013672
3	50	0.001	16	0.06433246284723282	15.813501358032227
4	50	0.001	16	0.07243025302886963	16.17339515686035
3	100	0.001	16	0.07258111238479614	16.336537837982178
4	200	0.001	16	0.07798406481742859	22.530592918395996
2	50	0.0001	16	0.13955983519554138	32.66145133972168
1	200	0.0001	16	0.17393718659877777	23.483869552612305
1	150	0.0001	16	0.30999070405960083	42.136067628860474
1	100	0.0001	16	1.3226628303527832	28.35359239578247
1	50	0.0001	16	16.730405807495117	24.01577925682068
