Deep size	Num units	Learning rate	Batch size	MSE	Tiempo de ejecución
4	150	0.0001	16	0.03245040774345398	17.76902413368225
2	50	0.001	16	0.032955754548311234	22.42287302017212
3	200	0.001	16	0.0340907908976078	16.075275897979736
4	200	0.0001	16	0.035330742597579956	20.28155016899109
2	100	0.001	16	0.035791635513305664	21.119618892669678
1	200	0.001	16	0.036071211099624634	22.73203468322754
4	100	0.0001	16	0.0368594154715538	15.584155797958374
4	100	0.001	16	0.037587784230709076	15.75853157043457
3	200	0.0001	16	0.03833214193582535	17.729129314422607
3	150	0.0001	16	0.03898859769105911	14.638344764709473
3	100	0.0001	16	0.03928912803530693	13.227686643600464
1	100	0.001	16	0.042473696172237396	19.488470792770386
3	50	0.001	16	0.04260242357850075	12.72231388092041
1	150	0.001	16	0.04490910470485687	23.069568872451782
4	50	0.0001	16	0.04644272103905678	14.704891443252563
2	150	0.001	16	0.04709980636835098	14.618065357208252
2	200	0.001	16	0.04886535182595253	13.590122938156128
1	50	0.001	16	0.04930828884243965	20.775002241134644
4	200	0.001	16	0.050678834319114685	15.08552074432373
2	150	0.0001	16	0.054661672562360764	14.456393957138062
2	200	0.0001	16	0.054683465510606766	13.610148191452026
3	100	0.001	16	0.06015338748693466	13.267422437667847
3	50	0.0001	16	0.06373343616724014	12.761964797973633
4	150	0.001	16	0.06630562245845795	17.891841888427734
2	100	0.0001	16	0.06902278959751129	21.759260416030884
4	50	0.001	16	0.0753660649061203	15.381479024887085
3	150	0.001	16	0.10194484889507294	15.892750263214111
2	50	0.0001	16	0.1058972179889679	20.855906009674072
1	200	0.0001	16	0.24108995497226715	21.503358840942383
1	150	0.0001	16	0.2547014653682709	21.82326102256775
1	100	0.0001	16	1.7374154329299927	21.278331756591797
1	50	0.0001	16	5.145018100738525	20.167513132095337
