Deep layers	Num units	Learning rate	Batch size	Loss	Score	Elapsed time
3	200	0.001	16	0.03306170925498009	0.03306170925498009	42.61661624908447
3	200	0.001	16	0.03414061293005943	0.03414061293005943	27.701766967773438
3	200	0.001	16	0.03467908874154091	0.03467908874154091	42.4107551574707
3	200	0.001	16	0.03501558303833008	0.03501558303833008	31.61908221244812
3	200	0.001	16	0.03519352152943611	0.03519352525472641	30.90926718711853
3	200	0.001	16	0.03557833284139633	0.03557833284139633	26.513898372650146
3	200	0.001	16	0.03623667359352112	0.03623667359352112	40.82210087776184
2	100	0.0001	4	0.036381617188453674	0.036381617188453674	61.304696559906006
4	200	0.0001	4	0.03656930476427078	0.03656930476427078	143.78842973709106
3	200	0.001	16	0.03663996607065201	0.03663996607065201	42.404842376708984
2	100	0.0001	4	0.03673220053315163	0.03673220053315163	83.31712579727173
2	100	0.0001	4	0.03702386096119881	0.03702386096119881	58.38944339752197
3	200	0.001	16	0.037042997777462006	0.03704299405217171	31.09770917892456
2	100	0.0001	4	0.03733092546463013	0.03733092546463013	69.25731873512268
1	200	0.001	16	0.03735104948282242	0.03735104948282242	26.07070517539978
1	200	0.001	16	0.03773563355207443	0.03773563355207443	23.843773126602173
3	200	0.001	16	0.0390564501285553	0.0390564501285553	31.284510612487793
1	200	0.001	16	0.040193043649196625	0.040193043649196625	27.48552370071411
3	200	0.001	16	0.04301800578832626	0.043018002063035965	34.19966411590576
3	200	0.001	16	0.0431666374206543	0.0431666374206543	31.87966752052307
3	200	0.001	16	0.044668931514024734	0.044668931514024734	29.83104920387268
3	200	0.001	16	0.048586033284664154	0.048586033284664154	30.80889081954956
4	200	0.001	4	0.05075773224234581	0.05075773224234581	143.61286807060242
2	200	0.0001	16	0.0533038005232811	0.0533038005232811	28.984699726104736
3	200	0.001	16	0.05462729558348656	0.05462729558348656	42.75381398200989
4	200	0.001	16	0.07214384526014328	0.07214384526014328	42.48441004753113
1	100	0.0001	4	0.07539904862642288	0.07539904862642288	57.793264389038086
3	100	0.001	2	0.08026518672704697	0.08026518672704697	142.9072766304016
1	200	0.0001	16	0.6296952962875366	0.6296952962875366	25.83410906791687
1	100	0.0001	16	1.5219230651855469	1.5219230651855469	21.865086317062378
