Deep size	Num units	Learning rate	Batch size	MSE	Tiempo de ejecución
2	50	0.001	16	0.03349487856030464	20.16007661819458
4	150	0.0001	16	0.03434179350733757	15.64032506942749
3	200	0.001	16	0.03441515564918518	15.493597030639648
1	200	0.001	16	0.03590170294046402	22.35865545272827
3	100	0.001	16	0.03625680133700371	12.99648642539978
1	150	0.001	16	0.0368724949657917	19.644713401794434
4	200	0.0001	16	0.03725558519363403	18.177032232284546
3	150	0.0001	16	0.03798560053110123	14.251318216323853
4	100	0.0001	16	0.03932839632034302	13.857679605484009
4	100	0.001	16	0.040304768830537796	13.773977041244507
3	200	0.0001	16	0.040683940052986145	15.608770370483398
3	100	0.0001	16	0.04075385630130768	13.117502450942993
4	50	0.0001	16	0.040788065642118454	13.392043352127075
2	100	0.001	16	0.04149025306105614	24.195645570755005
1	100	0.001	16	0.04168462008237839	20.64176654815674
2	150	0.001	16	0.0496506541967392	16.40100622177124
3	150	0.001	16	0.050069697201251984	13.808478832244873
1	50	0.001	16	0.050700534135103226	21.01045823097229
4	150	0.001	16	0.05173071473836899	14.846390724182129
2	200	0.001	16	0.05326063185930252	13.901073694229126
2	200	0.0001	16	0.05421514809131622	19.078627347946167
3	50	0.001	16	0.05565165355801582	12.421947479248047
3	50	0.0001	16	0.0570623055100441	12.765395641326904
2	150	0.0001	16	0.05771207809448242	16.223655462265015
2	100	0.0001	16	0.06222619116306305	24.993367433547974
4	50	0.001	16	0.0642831027507782	13.496427297592163
4	200	0.001	16	0.07686024159193039	17.914536237716675
2	50	0.0001	16	0.1623266339302063	22.763189792633057
1	200	0.0001	16	0.1828925609588623	21.285539150238037
1	150	0.0001	16	0.29044848680496216	19.528263092041016
1	100	0.0001	16	0.49785128235816956	20.052420616149902
1	50	0.0001	16	0.6747888922691345	20.082947731018066
