Deep layers	Num units	Learning rate	Batch size	Loss	Score	Elapsed time
3	100	0.0001	2	0.02975202165544033	0.02975202165544033	143.2821216583252
3	100	0.0001	2	0.030451519414782524	0.030451519414782524	143.39860272407532
3	100	0.0001	2	0.031226590275764465	0.031226590275764465	84.70085644721985
3	100	0.0001	2	0.03156448155641556	0.03156448155641556	110.85370993614197
2	100	0.0001	2	0.03174419701099396	0.03174419701099396	143.15497255325317
3	100	0.0001	2	0.03193344175815582	0.03193344175815582	132.1616141796112
3	100	0.0001	2	0.03205545246601105	0.03205545246601105	80.42355918884277
3	100	0.0001	2	0.03221059963107109	0.03221059963107109	143.4607093334198
3	100	0.0001	2	0.03235883265733719	0.03235883265733719	123.14428877830505
3	100	0.0001	2	0.03268330916762352	0.03268330916762352	203.64205956459045
3	100	0.0001	2	0.03279988095164299	0.03279988095164299	111.70586252212524
3	100	0.0001	4	0.032870225608348846	0.032870225608348846	83.41826224327087
3	100	0.0001	2	0.03311019018292427	0.03311019018292427	101.50308299064636
3	100	0.0001	2	0.033464543521404266	0.033464543521404266	111.30848836898804
4	100	0.0001	4	0.034209076315164566	0.034209076315164566	81.38885879516602
4	100	0.0001	2	0.03427056223154068	0.03427056223154068	143.80149054527283
4	100	0.0001	4	0.03473080322146416	0.03473080322146416	91.09373593330383
2	100	0.001	4	0.03521910682320595	0.03521910682320595	62.44427156448364
4	100	0.0001	2	0.036650076508522034	0.036650076508522034	143.23211145401
2	100	0.0001	4	0.037794098258018494	0.037794098258018494	57.42666029930115
3	200	0.0001	8	0.04313936084508896	0.04313936084508896	52.657373666763306
1	200	0.0001	2	0.04624691605567932	0.04624691605567932	59.175079345703125
1	200	0.0001	2	0.050990696996450424	0.050990693271160126	64.78318786621094
2	200	0.0001	16	0.052193041890859604	0.052193041890859604	42.22089147567749
1	100	0.0001	2	0.05856875330209732	0.05856875330209732	124.05493259429932
1	100	0.0001	2	0.062013279646635056	0.062013279646635056	92.04245138168335
3	100	0.001	2	0.06518730521202087	0.06518730521202087	75.65620970726013
4	200	0.001	16	0.06914222985506058	0.06914222985506058	36.85826539993286
3	100	0.001	2	0.06994763761758804	0.06994763761758804	143.46245574951172
3	100	0.001	2	0.08460657298564911	0.08460657298564911	134.01442337036133
1	50	0.0001	2	0.2555626332759857	0.2555626332759857	63.233991861343384
1	100	0.0001	4	0.46172842383384705	0.46172842383384705	51.64245963096619
