Deep size	Num units	Learning rate	Batch size	MSE	Tiempo de ejecución
4	100	0.001	16	0.03242498263716698	14.04092001914978
4	200	0.0001	16	0.034096602350473404	17.128864765167236
1	200	0.001	16	0.03599366173148155	20.431771516799927
2	50	0.001	16	0.036559782922267914	20.677273273468018
3	200	0.001	16	0.036567699164152145	14.295861721038818
4	150	0.0001	16	0.03658498451113701	15.666861772537231
4	100	0.0001	16	0.037647053599357605	13.879281520843506
3	100	0.0001	16	0.03841407224535942	13.213167190551758
1	150	0.001	16	0.03847450762987137	21.17122173309326
3	150	0.0001	16	0.03862646222114563	14.487042427062988
2	150	0.001	16	0.0392238087952137	18.07571578025818
3	200	0.0001	16	0.039881281554698944	15.194508075714111
4	50	0.0001	16	0.04160069674253464	13.265509128570557
1	100	0.001	16	0.0426618717610836	18.085516452789307
2	100	0.001	16	0.04392893612384796	19.771043300628662
1	50	0.001	16	0.045621108263731	19.766472339630127
2	200	0.0001	16	0.05280591920018196	17.406092405319214
2	150	0.0001	16	0.0534326508641243	18.145130157470703
4	50	0.001	16	0.05419968441128731	13.68933367729187
3	50	0.0001	16	0.057375308126211166	12.644456148147583
4	150	0.001	16	0.06039241701364517	15.32250452041626
2	100	0.0001	16	0.060623954981565475	42.351656436920166
3	50	0.001	16	0.06116584315896034	12.668020248413086
2	200	0.001	16	0.06358816474676132	13.619547367095947
3	100	0.001	16	0.0658065602183342	13.261324167251587
4	200	0.001	16	0.07269438356161118	13.365513563156128
2	50	0.0001	16	0.1095815896987915	22.588392734527588
3	150	0.001	16	0.11649899929761887	14.12990140914917
1	150	0.0001	16	0.26211977005004883	21.326002836227417
1	200	0.0001	16	0.6323341131210327	22.334208250045776
1	100	0.0001	16	1.246774435043335	19.77068257331848
1	50	0.0001	16	15.289128303527832	16.584038019180298
