Deep size	Num units	Learning rate	Batch size	MSE	Tiempo de ejecución
3	200	0.001	16	0.03097437508404255	17.165323972702026
4	150	0.0001	16	0.03256523236632347	17.646857976913452
1	200	0.001	16	0.036168280988931656	22.394182920455933
3	200	0.0001	16	0.03703442960977554	17.760742664337158
4	200	0.0001	16	0.037363965064287186	20.229596853256226
4	100	0.001	16	0.03843862935900688	15.349869728088379
2	100	0.001	16	0.03864779323339462	19.257323026657104
4	150	0.001	16	0.039163265377283096	16.79173517227173
4	100	0.0001	16	0.03922484070062637	15.481573820114136
1	100	0.001	16	0.039350125938653946	19.507200241088867
3	150	0.0001	16	0.040451932698488235	14.471086502075195
1	150	0.001	16	0.041144318878650665	21.63630175590515
3	50	0.001	16	0.04157034680247307	12.571565866470337
2	150	0.001	16	0.04215047508478165	14.709436655044556
2	50	0.001	16	0.04374414682388306	21.433480739593506
3	100	0.0001	16	0.04416947811841965	13.217486381530762
4	50	0.0001	16	0.04580584913492203	14.658831596374512
3	150	0.001	16	0.04738221317529678	13.712613105773926
2	200	0.001	16	0.05060180276632309	13.837913513183594
2	200	0.0001	16	0.05075492709875107	13.570510149002075
1	50	0.001	16	0.05117252469062805	21.21615171432495
2	150	0.0001	16	0.05681198835372925	14.400748252868652
2	100	0.0001	16	0.059623833745718	18.681626319885254
3	50	0.0001	16	0.06603223085403442	12.602003812789917
3	100	0.001	16	0.06844467669725418	13.1035635471344
4	200	0.001	16	0.07386931777000427	20.096463918685913
4	50	0.001	16	0.07819738239049911	15.013031721115112
2	50	0.0001	16	0.13174909353256226	23.821011543273926
1	200	0.0001	16	0.2067335695028305	19.668461322784424
1	150	0.0001	16	0.2820647656917572	22.291658878326416
1	100	0.0001	16	0.8887252807617188	23.506102323532104
1	50	0.0001	16	10.614033699035645	22.2125244140625
