Deep size	Num units	Learning rate	Batch size	MSE	Tiempo de ejecución
3	200	0.001	16	0.029581965878605843	18.610822677612305
4	100	0.001	16	0.03346434235572815	17.276092767715454
4	150	0.0001	16	0.03376875817775726	19.687885999679565
4	200	0.0001	16	0.034022003412246704	22.09029793739319
2	100	0.001	16	0.03622529283165932	20.511935472488403
4	100	0.0001	16	0.03637019917368889	17.09363627433777
1	200	0.001	16	0.03671078383922577	26.36995792388916
3	200	0.0001	16	0.03772098943591118	20.337040185928345
1	100	0.001	16	0.03789786249399185	25.32906985282898
1	150	0.001	16	0.038309212774038315	26.235700845718384
4	50	0.0001	16	0.03992372378706932	15.956947565078735
3	150	0.0001	16	0.04150794818997383	18.00868272781372
3	100	0.0001	16	0.04263285547494888	15.86518907546997
2	50	0.001	16	0.042650919407606125	42.15909171104431
2	150	0.001	16	0.04296715185046196	27.363442420959473
3	150	0.001	16	0.04309079423546791	17.815203428268433
3	50	0.001	16	0.04361618682742119	15.37849760055542
3	50	0.0001	16	0.048235226422548294	19.113473415374756
2	150	0.0001	16	0.05306720733642578	26.069265127182007
2	200	0.0001	16	0.057258084416389465	20.484786987304688
2	200	0.001	16	0.058366142213344574	20.797242879867554
4	200	0.001	16	0.06350080668926239	17.405747890472412
4	150	0.001	16	0.06842833757400513	19.372958183288574
2	100	0.0001	16	0.07072480022907257	42.462573528289795
1	50	0.001	16	0.0717393159866333	41.88753604888916
3	100	0.001	16	0.08295918256044388	16.035051345825195
4	50	0.001	16	0.0964052751660347	16.67707109451294
2	50	0.0001	16	0.13136200606822968	42.383312940597534
1	150	0.0001	16	0.5796158313751221	27.36254382133484
1	200	0.0001	16	0.590493381023407	42.320908546447754
1	100	0.0001	16	0.6349390745162964	26.964505434036255
1	50	0.0001	16	17.28662109375	23.534414768218994
