Deep layers	Num units	Learning rate	Loss	Accuracy	Elapsed time
4	200	0.001	0.31413912773132324	0.8895999789237976	72.6924774646759
4	200	0.001	0.31264016032218933	0.8895000219345093	70.8064615726471
4	100	0.001	0.31019264459609985	0.8888999819755554	54.170961141586304
4	150	0.001	0.3085699677467346	0.8881000280380249	62.48350715637207
4	100	0.001	0.31165826320648193	0.8877999782562256	54.00963044166565
4	150	0.001	0.31024879217147827	0.8877999782562256	61.70019459724426
3	200	0.001	0.3205561637878418	0.8877999782562256	61.75194025039673
4	200	0.001	0.31662845611572266	0.887499988079071	70.06152391433716
4	100	0.001	0.3141077756881714	0.8863999843597412	54.1703097820282
4	200	0.001	0.31324252486228943	0.8863000273704529	71.67773985862732
4	200	0.001	0.3245943784713745	0.8862000107765198	71.82431411743164
2	200	0.001	0.32066336274147034	0.8858000040054321	53.85330533981323
4	200	0.001	0.312252402305603	0.8855999708175659	72.33402609825134
3	200	0.001	0.3202943503856659	0.8853999972343445	61.368940114974976
3	100	0.001	0.3221924602985382	0.8845000267028809	47.86388802528381
4	200	0.001	0.32478103041648865	0.8841999769210815	71.92215704917908
3	200	0.001	0.31569695472717285	0.8837000131607056	61.37836146354675
4	100	0.001	0.318177729845047	0.8830999732017517	53.49945521354675
4	100	0.001	0.3241274058818817	0.8823999762535095	53.40134882926941
4	150	0.001	0.32207733392715454	0.8823000192642212	62.69003176689148
4	100	0.001	0.3242970108985901	0.8822000026702881	53.89736604690552
2	200	0.001	0.32710015773773193	0.8819000124931335	53.36823105812073
2	200	0.001	0.3221089243888855	0.8812000155448914	52.51398515701294
3	150	0.001	0.32791373133659363	0.8804000020027161	54.5674684047699
2	100	0.01	0.32969191670417786	0.8795999884605408	42.071065187454224
3	50	0.001	0.33087679743766785	0.8791999816894531	40.59672832489014
2	150	0.001	0.331476628780365	0.8787000179290771	47.85060358047485
4	50	0.001	0.3317304253578186	0.8780999779701233	44.07865858078003
2	100	0.01	0.33319076895713806	0.8779000043869019	42.73960757255554
2	100	0.01	0.3432841897010803	0.8776999711990356	43.2390615940094
2	100	0.01	0.33934149146080017	0.8776000142097473	53.516313314437866
2	50	0.01	0.3333708643913269	0.8772000074386597	37.04599189758301
2	100	0.01	0.3450559973716736	0.8769999742507935	42.66214060783386
3	50	0.001	0.33251041173934937	0.8758999705314636	40.61135482788086
3	100	0.01	0.33952417969703674	0.8758999705314636	48.34616279602051
2	50	0.01	0.34182995557785034	0.8758000135421753	36.97847533226013
2	200	0.01	0.3567517399787903	0.875	52.45194053649902
4	100	0.01	0.3516494333744049	0.8747000098228455	54.511274099349976
2	200	0.01	0.34557440876960754	0.8737999796867371	51.911401987075806
4	150	0.01	0.34551432728767395	0.8730999827384949	63.07110595703125
4	150	0.0001	0.3515245020389557	0.8716999888420105	62.31708765029907
4	200	0.01	0.3515113890171051	0.871399998664856	76.31679248809814
2	200	0.01	0.3505654036998749	0.8708000183105469	52.36428737640381
4	150	0.001	0.3467664420604706	0.870199978351593	62.01481866836548
4	150	0.0001	0.35749396681785583	0.8689000010490417	80.84070014953613
2	50	0.001	0.36228814721107483	0.8687000274658203	37.17971110343933
4	200	0.0001	0.3646654784679413	0.8686000108718872	71.13837361335754
4	200	0.01	0.36838144063949585	0.8679999709129333	71.43123388290405
4	100	0.0001	0.36768779158592224	0.8661999702453613	53.72163939476013
2	200	0.01	0.37024474143981934	0.8655999898910522	52.3208863735199
2	200	0.01	0.3654373288154602	0.8636999726295471	52.35024452209473
4	100	0.0001	0.371537446975708	0.8629000186920166	54.0647759437561
4	100	0.0001	0.3680725693702698	0.8629000186920166	55.15323305130005
4	50	0.0001	0.3837919533252716	0.8619999885559082	50.27140522003174
1	200	0.01	0.4013404846191406	0.8604999780654907	41.78486371040344
2	150	0.0001	0.3915756344795227	0.8600999712944031	48.17084336280823
4	50	0.0001	0.38325366377830505	0.8592000007629395	53.96163034439087
2	200	0.0001	0.38795191049575806	0.8567000031471252	50.645991563797
2	200	0.0001	0.390158087015152	0.8562999963760376	51.334245681762695
1	50	0.001	0.4063655436038971	0.8557999730110168	32.955405712127686
2	150	0.0001	0.40400975942611694	0.8535000085830688	48.676785469055176
2	100	0.0001	0.40759122371673584	0.8511999845504761	42.44373607635498
1	100	0.0001	0.49011537432670593	0.8195000290870667	37.8155722618103
4	100	1e-05	0.5153712630271912	0.8029000163078308	53.94865798950195
3	150	1e-05	0.5160751342773438	0.802299976348877	54.72392010688782
2	200	1e-05	0.5310904383659363	0.7994999885559082	52.32416820526123
4	50	1e-05	0.54657381772995	0.7930999994277954	43.17325043678284
3	50	1e-05	0.5572318434715271	0.7854999899864197	39.57015037536621
3	50	1e-05	0.5707055330276489	0.7840999960899353	39.680017948150635
2	50	1e-05	0.6071527004241943	0.7764000296592712	37.41761612892151
