Deep layers	Num units	Learning rate	Batch size	Loss	Accuracy	Elapsed time
3	200	0.001	128	0.3141234517097473	0.887499988079071	126.75196719169617
3	200	0.001	128	0.3157276213169098	0.8855999708175659	123.1174635887146
3	200	0.001	128	0.31034204363822937	0.8853999972343445	136.08332133293152
3	100	0.01	128	0.3241463601589203	0.8822000026702881	79.40880537033081
3	100	0.01	128	0.33072689175605774	0.8820000290870667	80.97073745727539
3	100	0.01	128	0.32870227098464966	0.881600022315979	88.206871509552
4	100	0.01	128	0.3312293589115143	0.880299985408783	143.0320155620575
3	100	0.01	128	0.3362726867198944	0.8801000118255615	77.5968029499054
4	100	0.01	128	0.3357345461845398	0.8799999952316284	87.97191381454468
4	100	0.01	128	0.3323679268360138	0.8799999952316284	94.89722418785095
4	100	0.01	128	0.3285559415817261	0.8798999786376953	98.52139711380005
4	100	0.01	128	0.3322160243988037	0.8791999816894531	93.7284927368164
4	100	0.01	128	0.3462037146091461	0.8781999945640564	108.02852606773376
3	100	0.01	128	0.33628153800964355	0.8776000142097473	68.71705055236816
3	100	0.01	128	0.3337995409965515	0.8776000142097473	85.05027341842651
4	100	0.01	128	0.3472534120082855	0.8772000074386597	87.75819492340088
3	100	0.01	128	0.33298853039741516	0.8769999742507935	86.18205738067627
3	200	0.01	128	0.34059277176856995	0.8766999840736389	134.17762970924377
4	100	0.01	128	0.3367477059364319	0.8765000104904175	105.91834044456482
3	100	0.01	128	0.3423145115375519	0.8762999773025513	99.82644081115723
3	100	0.01	128	0.3391675055027008	0.8761000037193298	79.3957896232605
3	100	0.01	128	0.34618428349494934	0.8745999932289124	85.79585266113281
3	100	0.01	128	0.3452278673648834	0.8737000226974487	73.5491726398468
4	100	0.01	128	0.34630247950553894	0.8734999895095825	100.73330068588257
4	100	0.01	128	0.34495723247528076	0.8734999895095825	102.11642527580261
3	100	0.01	128	0.33672651648521423	0.8733999729156494	85.86418032646179
4	200	0.01	128	0.3508138656616211	0.8733999729156494	106.05557703971863
3	100	0.01	128	0.34095823764801025	0.8733000159263611	74.17702841758728
3	100	0.01	128	0.33743903040885925	0.8729000091552734	86.02069163322449
3	100	0.01	128	0.33361920714378357	0.8727999925613403	100.16922926902771
4	200	0.0001	128	0.35527652502059937	0.8719000220298767	133.3344485759735
4	100	0.01	128	0.3432796895503998	0.8709999918937683	102.27882814407349
3	100	0.01	128	0.3540005087852478	0.8704000115394592	76.45562815666199
4	100	0.01	128	0.353129506111145	0.8700000047683716	64.72314786911011
4	200	0.01	128	0.37013983726501465	0.8693000078201294	147.9516978263855
4	100	0.0001	128	0.36271584033966064	0.8679999709129333	143.154278755188
4	100	0.0001	128	0.36400139331817627	0.8668000102043152	99.61862325668335
3	200	0.01	128	0.3593713343143463	0.8637999892234802	136.5521318912506
4	100	0.0001	128	0.3762507438659668	0.8633999824523926	105.04908299446106
3	200	0.01	256	0.37231412529945374	0.862500011920929	90.73195815086365
4	100	0.01	128	0.3704496920108795	0.8596000075340271	81.5924301147461
