Deep layers	Num units	Learning rate	Batch size	Loss	Accuracy	Elapsed time
4	200	0.001	256	0.31258895993232727	0.8860999941825867	64.83854866027832
4	200	0.001	256	0.316914439201355	0.8855000138282776	63.10061812400818
4	200	0.001	128	0.3290300965309143	0.8845000267028809	97.33291435241699
4	200	0.001	128	0.3227618634700775	0.8842999935150146	74.5244767665863
4	200	0.001	256	0.31433308124542236	0.8837000131607056	49.98030066490173
4	200	0.001	256	0.32142373919487	0.8837000131607056	63.81658673286438
4	100	0.001	256	0.32295849919319153	0.8833000063896179	41.54266834259033
4	200	0.001	256	0.3185484707355499	0.8833000063896179	43.02338743209839
3	100	0.01	256	0.32205069065093994	0.8830000162124634	36.44920253753662
4	200	0.001	256	0.319379061460495	0.8827999830245972	41.76996088027954
4	200	0.001	256	0.3198685348033905	0.8823999762535095	62.97182869911194
4	200	0.001	256	0.3216701149940491	0.8817999958992004	66.00565791130066
4	200	0.001	256	0.3238057494163513	0.881600022315979	50.31403875350952
4	200	0.001	256	0.32497522234916687	0.8812999725341797	50.63113594055176
4	100	0.01	128	0.34014683961868286	0.8809000253677368	66.2889244556427
4	200	0.001	256	0.32487979531288147	0.8805000185966492	50.236674785614014
4	200	0.001	256	0.32711273431777954	0.8801000118255615	49.39158749580383
4	200	0.001	256	0.3236224353313446	0.8797000050544739	53.78217434883118
3	100	0.01	256	0.32958605885505676	0.8794999718666077	38.67044973373413
4	200	0.001	256	0.32764604687690735	0.8792999982833862	51.31545448303223
3	200	0.01	128	0.3369651734828949	0.8792999982833862	82.09261965751648
3	200	0.01	256	0.3338698446750641	0.8780999779701233	52.643043994903564
3	100	0.01	256	0.3351607620716095	0.8773000240325928	37.67718577384949
3	100	0.01	256	0.3393736481666565	0.8770999908447266	37.49925088882446
4	100	0.01	256	0.3429725468158722	0.8766999840736389	41.160865783691406
4	100	0.01	256	0.33605465292930603	0.8765000104904175	43.25183296203613
3	200	0.01	128	0.3439718186855316	0.8762000203132629	78.93900609016418
4	100	0.01	256	0.335544228553772	0.8761000037193298	41.12067651748657
4	100	0.01	128	0.3385625183582306	0.8758999705314636	67.28417301177979
4	200	0.01	128	0.35001835227012634	0.8758999705314636	91.42904281616211
3	200	0.01	256	0.33589741587638855	0.8755999803543091	52.37738060951233
3	200	0.01	128	0.34328484535217285	0.8754000067710876	82.74072742462158
4	200	0.01	128	0.3537135124206543	0.8736000061035156	92.18644499778748
3	100	0.01	128	0.3470801115036011	0.8733999729156494	58.943113803863525
4	100	0.01	256	0.3452889621257782	0.8729000091552734	42.22618842124939
3	200	0.01	256	0.3486191928386688	0.8701000213623047	52.393239974975586
4	100	0.01	128	0.34184688329696655	0.8680999875068665	66.18607974052429
3	100	0.01	256	0.3679404556751251	0.8669999837875366	30.73652148246765
3	200	0.01	256	0.350279837846756	0.8669999837875366	52.23947191238403
3	200	0.01	256	0.3691996932029724	0.866599977016449	51.86169505119324
3	200	0.01	128	0.3841401934623718	0.8651999831199646	80.06116938591003
4	100	0.01	128	0.36187291145324707	0.8646000027656555	66.1145715713501
4	100	0.0001	128	0.37437689304351807	0.8636999726295471	64.95815205574036
3	200	0.0001	256	0.3822977542877197	0.8634999990463257	53.85362911224365
3	200	0.01	128	0.3675382435321808	0.8611000180244446	80.98010873794556
3	200	0.0001	256	0.3795332908630371	0.8607000112533569	55.04101014137268
3	100	0.0001	128	0.3816164433956146	0.8604999780654907	60.36984300613403
3	200	0.01	256	0.37974047660827637	0.8589000105857849	52.47543978691101
4	100	0.0001	256	0.3915058672428131	0.8575999736785889	43.6172935962677
4	100	0.01	256	0.3721100091934204	0.8568000197410583	42.295509576797485
3	100	0.0001	256	0.40690284967422485	0.848800003528595	38.53517770767212
4	100	1e-05	256	0.5383352041244507	0.7918000221252441	34.36917853355408
3	200	1e-05	256	0.5475602746009827	0.789900004863739	36.36767077445984
3	100	1e-05	256	0.5748167037963867	0.7836999893188477	37.70667028427124
