Deep size	Num units	Learning rate	Batch size	MSE	Tiempo de ejecución
3	200	0.001	16	0.032527852803468704	15.28300929069519
4	200	0.0001	16	0.03497773036360741	16.99622416496277
4	150	0.0001	16	0.03546518087387085	15.755800247192383
2	100	0.001	16	0.03585685417056084	20.69601082801819
4	50	0.0001	16	0.036961544305086136	13.272430658340454
4	100	0.001	16	0.03719443082809448	14.016797542572021
3	200	0.0001	16	0.038113173097372055	15.387176036834717
2	50	0.001	16	0.038514576852321625	18.736623287200928
3	150	0.0001	16	0.038967739790678024	14.465001106262207
1	150	0.001	16	0.03938831016421318	20.815080642700195
4	100	0.0001	16	0.039463236927986145	14.132246971130371
1	200	0.001	16	0.03949914500117302	20.77964425086975
1	50	0.001	16	0.04065091907978058	20.273613214492798
2	150	0.001	16	0.0420602448284626	16.088558673858643
3	150	0.001	16	0.044394705444574356	13.779430627822876
4	200	0.001	16	0.044546470046043396	16.966399669647217
1	100	0.001	16	0.04666152223944664	16.754388332366943
3	100	0.0001	16	0.05067414790391922	13.201733827590942
2	200	0.0001	16	0.05285359546542168	17.42599081993103
2	200	0.001	16	0.05364613980054855	15.992690563201904
3	50	0.001	16	0.05795304849743843	12.41835618019104
2	150	0.0001	16	0.061703771352767944	17.909512281417847
4	150	0.001	16	0.06390531361103058	15.171564102172852
3	50	0.0001	16	0.06499543786048889	12.726301670074463
4	50	0.001	16	0.06739651411771774	13.515701055526733
2	100	0.0001	16	0.07452134042978287	21.273690938949585
3	100	0.001	16	0.08257950842380524	12.948185920715332
2	50	0.0001	16	0.0994093120098114	24.705475330352783
1	200	0.0001	16	0.2112843096256256	21.89050316810608
1	150	0.0001	16	0.6250114440917969	22.035711526870728
1	100	0.0001	16	0.9997764825820923	20.444350004196167
1	50	0.0001	16	6.585424900054932	17.77020835876465
