,log_10(M200c),counts,n(>M)
0,10.572195872762425,773,0.028888
1,10.877561674640878,717,0.022704
2,11.182927476519332,689,0.016968
3,11.488293278397785,625,0.011456
4,11.793659080276239,372,0.006456
5,12.099024882154692,221,0.00348
6,12.404390684033146,107,0.001712
7,12.709756485911598,46,0.000856
8,13.015122287790053,35,0.000488
9,13.320488089668505,12,0.000208
10,13.62585389154696,12,0.000112
11,13.931219693425412,2,1.6e-05
